Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,7.21,5.92,6.42,4.15,7.41,31.11
10/4/2024 22:26,8.13,7.02,8.35,3.22,6.17,32.89
10/5/2024 22:26,7.63,6.31,7.92,2.15,6.41,30.42
10/6/2024 22:26,7.81,5.42,6.87,3.87,7.14,31.11
10/7/2024 22:26,6.92,7.15,3.92,2.13,5.83,25.95
10/8/2024 22:26,7.12,6.22,4.58,3.75,7.03,28.70
10/9/2024 22:26,8.31,6.42,6.23,2.11,6.78,29.85
10/10/2024 22:26,8.42,6.35,6.34,2.01,5.83,28.95
10/11/2024 22:26,6.75,4.13,5.81,2.33,6.11,25.13
10/12/2024 22:26,7.11,6.78,7.34,3.32,7.01,31.56
10/13/2024 22:26,8.12,7.02,6.92,2.91,6.83,31.80
10/14/2024 22:26,7.11,5.23,6.34,3.31,7.01,29.00
10/15/2024 22:26,6.81,6.92,5.82,2.01,6.45,28.01
10/16/2024 22:26,9.01,6.21,8.42,3.13,7.94,34.71
10/17/2024 22:26,8.34,6.43,6.34,2.54,6.45,30.10
10/18/2024 22:26,7.43,6.41,6.91,2.71,5.91,29.37
10/19/2024 22:26,8.11,7.53,8.11,3.34,7.21,34.30
10/20/2024 22:26,7.54,6.62,5.98,2.41,6.93,29.48
10/21/2024 22:26,6.84,3.92,6.93,2.31,5.94,25.94
10/22/2024 22:26,7.92,6.43,7.42,2.15,6.11,30.03
10/23/2024 22:26,7.01,6.71,8.13,3.03,6.24,31.12
10/24/2024 22:26,7.34,5.64,6.92,2.15,6.21,28.26
10/25/2024 22:26,8.43,5.42,7.85,3.02,7.11,31.83
10/26/2024 22:26,6.91,7.23,8.01,2.91,7.24,32.30
10/27/2024 22:26,7.21,6.32,7.44,3.01,6.93,30.91
10/28/2024 22:26,7.54,6.42,6.93,3.42,7.11,31.42
10/29/2024 22:26,6.43,5.84,7.93,2.24,6.13,28.57
10/30/2024 22:26,8.42,7.43,6.11,3.03,7.44,32.43
10/31/2024 22:26,7.21,6.32,6.54,3.43,7.12,30.62
11/1/2024 22:26,7.54,6.14,7.44,2.45,6.53,30.10
