Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,7.02,6.31,8.52,4.12,6.87,32.84
10/4/2024 22:26,8.15,7.52,6.93,3.45,6.62,32.67
10/5/2024 22:26,6.89,6.41,7.92,2.14,6.45,29.81
10/6/2024 22:26,8.75,5.74,7.68,3.87,7.14,33.18
10/7/2024 22:26,6.58,7.01,3.82,2.05,5.79,25.25
10/8/2024 22:26,7.12,5.93,5.23,4.04,6.42,28.74
10/9/2024 22:26,5.63,5.94,7.82,1.92,7.21,28.52
10/10/2024 22:26,8.91,6.83,6.23,2.23,5.64,29.84
10/11/2024 22:26,7.12,5.02,8.23,3.14,6.24,29.75
10/12/2024 22:26,8.21,7.23,6.31,1.94,5.91,29.60
10/13/2024 22:26,6.52,4.11,5.56,3.76,6.15,26.10
10/14/2024 22:26,7.81,4.97,5.82,2.01,6.83,27.44
10/15/2024 22:26,6.92,5.44,6.84,3.23,7.06,29.49
10/16/2024 22:26,7.43,5.31,7.21,3.87,7.78,31.60
10/17/2024 22:26,8.11,6.41,8.12,1.92,5.85,30.41
10/18/2024 22:26,6.84,5.71,6.13,2.04,5.81,26.53
10/19/2024 22:26,7.32,7.73,7.41,2.87,6.41,31.74
10/20/2024 22:26,7.04,6.34,5.68,2.01,6.94,28.01
10/21/2024 22:26,6.85,3.74,7.04,2.54,7.22,27.39
10/22/2024 22:26,8.23,6.52,8.54,2.32,6.21,31.82
10/23/2024 22:26,6.73,6.21,8.13,2.41,6.47,29.95
10/24/2024 22:26,7.42,5.84,7.42,2.65,6.81,30.14
10/25/2024 22:26,6.92,5.32,7.92,1.92,5.83,28.91
10/26/2024 22:26,5.92,6.72,7.41,3.11,7.24,30.40
10/27/2024 22:26,6.41,6.23,6.13,2.34,6.87,27.98
10/28/2024 22:26,6.91,6.14,7.73,2.01,7.24,30.03
10/29/2024 22:26,6.45,5.62,8.23,1.52,6.91,28.73
10/30/2024 22:26,8.02,6.45,6.73,3.12,7.44,31.76
10/31/2024 22:26,7.13,6.24,7.52,2.81,7.31,31.01
11/1/2024 22:26,7.24,6.62,6.93,2.11,6.91,29.81
