Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,8.11,3.62,12.00,5.77,10.50,39.99
10/4/2024 22:26,7.32,5.64,13.25,6.11,7.21,39.53
10/5/2024 22:26,9.01,4.86,10.35,4.87,11.21,40.30
10/6/2024 22:26,9.42,3.61,10.69,4.35,3.56,31.63
10/7/2024 22:26,7.45,4.96,15.89,4.66,8.56,41.52
10/8/2024 22:26,7.63,2.42,17.56,2.60,13.44,43.65
10/9/2024 22:26,9.67,4.50,12.36,5.33,5.42,37.28
10/10/2024 22:26,8.52,2.14,14.17,4.78,4.72,34.33
10/11/2024 22:26,6.29,3.09,14.27,4.65,8.07,36.37
10/12/2024 22:26,9.31,4.17,9.19,5.08,5.49,33.24
10/13/2024 22:26,6.41,5.66,12.47,2.81,4.03,31.37
10/14/2024 22:26,6.21,4.26,15.78,4.66,7.11,37.02
10/15/2024 22:26,7.99,4.19,11.13,5.05,4.14,32.50
10/16/2024 22:26,4.13,4.85,17.39,3.37,6.67,36.40
10/17/2024 22:26,5.58,3.51,4.06,5.67,5.36,24.18
10/18/2024 22:26,5.71,3.12,17.01,5.51,9.56,40.91
10/19/2024 22:26,5.99,3.64,10.93,7.61,5.29,33.46
10/20/2024 22:26,8.37,6.77,11.02,5.78,6.06,37.99
10/21/2024 22:26,6.67,5.04,13.21,5.63,9.21,39.76
10/22/2024 22:26,4.19,3.04,3.88,5.26,5.90,22.27
10/23/2024 22:26,9.78,5.24,12.65,3.47,8.11,39.25
10/24/2024 22:26,7.67,3.73,15.68,4.87,9.12,41.07
10/25/2024 22:26,7.83,3.53,18.22,5.89,5.40,40.87
10/26/2024 22:26,4.28,5.49,10.17,8.35,7.16,35.44
10/27/2024 22:26,6.12,5.14,9.66,5.31,7.90,34.13
10/28/2024 22:26,8.57,6.03,9.68,5.16,8.18,37.62
10/29/2024 22:26,4.52,3.46,17.06,5.20,5.95,36.19
10/30/2024 22:26,7.58,3.99,11.91,3.26,5.15,31.89
10/31/2024 22:26,6.25,5.83,8.33,6.98,7.60,34.99
11/1/2024 22:26,7.88,4.89,14.52,6.27,8.34,41.90
