Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,5.43,3.32,9.11,2.13,5.24,35.23
10/4/2024 22:26,6.21,4.26,10.09,1.98,4.93,37.47
10/5/2024 22:26,7.12,3.24,7.85,1.78,6.41,35.40
10/6/2024 22:26,7.55,3.16,6.62,1.88,3.74,33.95
10/7/2024 22:26,5.62,4.87,12.01,2.03,4.81,39.34
10/8/2024 22:26,6.09,2.62,14.43,1.54,7.18,38.86
10/9/2024 22:26,8.45,4.02,11.21,2.01,4.91,40.60
10/10/2024 22:26,7.28,2.31,14.32,2.11,5.21,41.23
10/11/2024 22:26,4.67,2.62,12.68,1.78,6.73,35.48
10/12/2024 22:26,6.09,3.21,9.27,1.85,4.82,35.24
10/13/2024 22:26,5.81,4.12,10.84,1.45,2.93,35.15
10/14/2024 22:26,4.91,3.23,13.45,1.74,5.92,36.25
10/15/2024 22:26,6.02,3.81,10.33,1.81,3.44,35.41
10/16/2024 22:26,3.81,3.26,14.91,1.24,4.29,37.51
10/17/2024 22:26,4.13,2.71,2.64,1.95,5.21,36.65
10/18/2024 22:26,5.12,3.09,14.32,2.43,7.48,38.44
10/19/2024 22:26,5.65,3.21,10.11,2.65,5.09,36.71
10/20/2024 22:26,6.92,4.06,10.82,1.98,4.81,38.59
10/21/2024 22:26,5.11,3.72,11.22,2.15,6.05,37.25
10/22/2024 22:26,3.45,2.15,4.87,1.92,3.91,34.30
10/23/2024 22:26,7.23,3.01,11.21,1.31,4.95,35.76
10/24/2024 22:26,5.43,3.11,10.83,1.94,6.04,37.35
10/25/2024 22:26,6.24,2.82,14.34,1.63,3.91,38.94
10/26/2024 22:26,4.73,3.01,9.58,2.72,6.23,36.27
10/27/2024 22:26,5.24,3.87,8.72,1.82,6.89,35.89
10/28/2024 22:26,6.15,4.11,9.13,2.03,6.41,37.83
10/29/2024 22:26,4.21,2.64,13.21,1.64,3.95,36.65
10/30/2024 22:26,6.92,3.11,11.32,1.12,3.55,36.02
10/31/2024 22:26,5.63,3.52,9.44,2.01,6.29,35.89
11/1/2024 22:26,5.75,3.61,11.23,1.76,5.82,37.17
