Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,7.22,5.71,6.86,4.73,8.76,33.28
10/4/2024 22:26,6.42,6.54,7.11,3.15,5.43,28.65
10/5/2024 22:26,9.17,4.73,9.76,3.33,5.02,32.01
10/6/2024 22:26,9.64,6.65,6.58,4.69,6.97,34.53
10/7/2024 22:26,7.29,6.39,4.36,4.05,4.09,26.18
10/8/2024 22:26,7.87,6.43,9.16,1.47,5.99,30.92
10/9/2024 22:26,8.52,6.13,8.65,3.12,5.54,31.96
10/10/2024 22:26,6.03,6.54,7.96,1.85,5.23,27.61
10/11/2024 22:26,4.93,5.44,5.73,4.36,7.47,27.93
10/12/2024 22:26,6.54,7.54,7.51,2.17,6.63,30.39
10/13/2024 22:26,7.45,6.15,8.90,3.49,6.70,32.69
10/14/2024 22:26,5.30,4.05,3.81,4.10,5.44,22.70
10/15/2024 22:26,9.74,3.91,7.68,3.44,4.41,29.18
10/16/2024 22:26,9.15,7.21,7.04,4.55,7.64,35.59
10/17/2024 22:26,7.18,4.56,10.54,3.37,5.67,31.32
10/18/2024 22:26,8.28,7.51,6.12,4.82,6.99,33.72
10/19/2024 22:26,5.23,7.71,10.45,2.67,3.10,29.16
10/20/2024 22:26,5.34,6.00,3.60,4.87,4.11,23.92
10/21/2024 22:26,5.83,8.12,6.86,4.50,5.86,31.17
10/22/2024 22:26,8.27,5.40,9.60,1.40,5.60,30.27
10/23/2024 22:26,8.00,7.07,4.52,2.58,3.48,25.65
10/24/2024 22:26,6.95,7.77,6.10,3.23,4.72,28.77
10/25/2024 22:26,6.31,5.70,11.37,2.13,5.94,31.45
10/26/2024 22:26,5.81,5.85,7.62,2.56,5.28,27.11
10/27/2024 22:26,9.91,7.23,9.85,1.68,3.66,32.34
10/28/2024 22:26,5.87,5.27,9.76,3.39,7.46,31.75
10/29/2024 22:26,7.12,3.39,11.44,2.06,7.33,31.34
10/30/2024 22:26,9.15,4.80,8.52,2.88,8.65,34.00
10/31/2024 22:26,7.20,5.13,8.48,3.12,6.57,30.50
11/1/2024 22:26,7.13,5.24,7.95,3.93,8.02,32.27
