Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,6.72,4.12,7.52,4.05,7.44,29.85
10/4/2024 22:26,6.43,5.72,7.31,2.93,7.14,29.53
10/5/2024 22:26,7.12,6.03,8.14,3.24,6.53,31.06
10/6/2024 22:26,6.91,4.92,6.93,4.03,7.42,30.21
10/7/2024 22:26,7.85,4.25,7.22,3.52,6.72,29.56
10/8/2024 22:26,7.31,4.92,6.15,4.12,6.88,29.38
10/9/2024 22:26,6.81,5.02,6.71,3.45,7.23,29.22
10/10/2024 22:26,7.63,5.42,8.34,4.03,6.87,32.29
10/11/2024 22:26,6.58,4.72,7.92,3.72,6.91,29.85
10/12/2024 22:26,6.93,4.91,8.12,4.23,6.58,30.77
10/13/2024 22:26,7.25,5.22,7.81,4.15,6.83,31.26
10/14/2024 22:26,6.81,5.35,7.72,3.24,7.04,30.16
10/15/2024 22:26,7.14,5.41,8.23,3.64,7.35,31.77
10/16/2024 22:26,6.92,5.23,7.44,4.12,6.91,30.62
10/17/2024 22:26,6.88,5.31,7.52,3.83,6.71,30.25
10/18/2024 22:26,6.53,5.72,8.12,3.54,6.89,30.80
10/19/2024 22:26,7.01,4.63,7.34,4.15,6.87,30.00
10/20/2024 22:26,6.72,5.14,6.92,3.72,7.04,29.54
10/21/2024 22:26,7.23,4.82,7.53,3.89,7.12,30.59
10/22/2024 22:26,6.88,4.93,7.14,4.22,6.84,30.01
10/23/2024 22:26,7.14,5.11,7.84,3.41,6.97,30.47
10/24/2024 22:26,6.81,5.42,7.54,4.03,7.12,30.92
10/25/2024 22:26,6.53,4.72,7.33,3.85,6.91,29.34
10/26/2024 22:26,6.97,5.12,7.74,4.12,6.81,30.76
10/27/2024 22:26,6.83,5.03,7.14,3.64,7.31,29.95
10/28/2024 22:26,7.12,5.24,7.64,3.87,6.93,30.80
10/29/2024 22:26,6.92,4.83,8.03,3.12,6.74,29.64
10/30/2024 22:26,7.14,5.61,7.92,3.94,6.81,31.42
10/31/2024 22:26,6.88,4.93,8.12,3.84,6.89,30.66
11/1/2024 22:26,7.25,5.32,7.54,3.93,7.21,31.25
