Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,9.59,3.47,7.10,2.73,7.71,30.60
10/4/2024 22:26,7.60,4.85,7.72,3.06,4.37,27.60
10/5/2024 22:26,10.70,3.45,5.52,2.28,8.30,30.25
10/6/2024 22:26,11.42,3.18,5.30,2.17,3.18,25.24
10/7/2024 22:26,8.96,4.41,11.37,2.48,6.09,33.31
10/8/2024 22:26,8.96,1.99,12.88,1.34,10.20,35.37
10/9/2024 22:26,12.81,4.36,9.10,2.49,4.03,32.79
10/10/2024 22:26,10.31,2.06,12.44,2.62,4.36,31.79
10/11/2024 22:26,7.00,2.39,10.40,2.60,5.54,27.93
10/12/2024 22:26,9.46,3.73,9.08,2.32,5.26,29.85
10/13/2024 22:26,7.66,4.21,9.66,1.84,2.96,26.33
10/14/2024 22:26,8.23,4.20,13.83,2.38,6.66,35.29
10/15/2024 22:26,10.98,3.70,8.35,2.35,3.81,29.20
10/16/2024 22:26,4.61,3.44,15.82,2.01,5.91,31.78
10/17/2024 22:26,5.85,2.17,2.78,2.43,4.73,18.06
10/18/2024 22:26,8.90,3.45,12.37,2.44,8.99,36.15
10/19/2024 22:26,6.48,3.16,9.67,3.57,5.41,28.29
10/20/2024 22:26,8.95,4.03,9.53,2.44,4.83,30.77
10/21/2024 22:26,5.70,4.17,10.92,2.31,7.30,30.41
10/22/2024 22:26,5.18,1.50,3.19,2.31,4.61,16.79
10/23/2024 22:26,13.37,3.83,9.26,1.02,5.74,33.22
10/24/2024 22:26,7.30,3.27,11.41,2.24,7.83,32.05
10/25/2024 22:26,10.24,3.28,14.46,2.93,4.59,35.50
10/26/2024 22:26,6.44,3.67,10.32,4.70,7.64,32.77
10/27/2024 22:26,7.88,4.06,7.92,2.52,6.76,29.13
10/28/2024 22:26,7.74,4.07,8.39,2.66,7.28,30.14
10/29/2024 22:26,6.25,3.81,16.82,2.81,5.58,35.27
10/30/2024 22:26,12.14,3.71,13.72,1.80,4.39,35.77
10/31/2024 22:26,7.86,3.85,7.08,3.20,6.51,28.49
11/1/2024 22:26,9.75,3.92,9.91,2.45,6.03,32.05
