Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,14.11,5.11,10.44,4.01,11.34,45.01
10/4/2024 22:26,11.18,7.14,11.38,4.52,6.45,40.68
10/5/2024 22:26,15.74,5.07,8.11,3.34,12.18,44.45
10/6/2024 22:26,16.80,4.68,7.80,3.19,4.68,37.15
10/7/2024 22:26,13.19,6.49,16.72,3.64,8.95,48.98
10/8/2024 22:26,13.20,2.93,18.93,1.97,14.99,51.02
10/9/2024 22:26,18.86,6.41,13.39,3.65,5.90,48.21
10/10/2024 22:26,15.18,3.03,18.20,3.83,6.41,46.65
10/11/2024 22:26,10.30,3.51,15.20,3.80,8.10,40.91
10/12/2024 22:26,13.91,5.48,13.35,3.42,7.73,43.88
10/13/2024 22:26,11.26,6.18,14.19,2.70,4.33,38.66
10/14/2024 22:26,12.11,6.17,20.32,3.50,9.81,51.92
10/15/2024 22:26,16.14,5.44,12.29,3.46,5.61,42.93
10/16/2024 22:26,6.78,5.06,23.26,2.96,8.72,46.78
10/17/2024 22:26,8.60,3.20,4.10,3.59,6.99,26.48
10/18/2024 22:26,13.09,5.07,18.19,3.59,13.38,53.32
10/19/2024 22:26,9.54,4.65,14.21,5.25,7.96,41.61
10/20/2024 22:26,13.16,5.93,14.01,3.59,7.10,43.79
10/21/2024 22:26,8.37,6.12,16.05,3.40,10.74,44.68
10/22/2024 22:26,7.60,2.20,4.68,3.39,6.77,24.64
10/23/2024 22:26,19.64,5.63,13.63,1.51,8.44,48.86
10/24/2024 22:26,10.71,4.80,16.78,3.30,11.52,47.10
10/25/2024 22:26,15.01,4.81,21.29,4.31,6.75,52.17
10/26/2024 22:26,9.43,5.39,15.17,6.91,11.24,48.15
10/27/2024 22:26,11.54,5.96,11.63,3.70,9.91,42.74
10/28/2024 22:26,11.32,5.97,12.32,3.91,10.68,44.19
10/29/2024 22:26,9.14,5.58,24.59,4.11,8.17,51.59
10/30/2024 22:26,17.73,5.44,20.06,2.63,6.43,52.29
10/31/2024 22:26,11.49,5.65,10.41,4.70,9.55,41.79
11/1/2024 22:26,14.26,5.76,14.57,3.60,8.83,47.03
