Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,5.12,2.31,9.28,3.97,7.89,28.57
10/4/2024 22:26,4.85,3.68,9.07,4.08,6.12,27.80
10/5/2024 22:26,6.58,3.11,8.56,2.93,7.91,29.09
10/6/2024 22:26,6.44,2.99,7.14,2.43,4.02,22.02
10/7/2024 22:26,4.52,5.14,17.89,2.70,7.11,37.36
10/8/2024 22:26,5.05,3.25,18.32,1.68,10.60,38.90
10/9/2024 22:26,6.91,3.96,13.47,3.21,5.87,33.42
10/10/2024 22:26,4.85,1.93,16.09,3.02,5.85,31.74
10/11/2024 22:26,4.20,2.48,15.64,2.76,6.77,31.85
10/12/2024 22:26,4.58,4.37,11.69,2.31,5.43,28.38
10/13/2024 22:26,3.81,4.79,14.66,1.79,4.13,29.18
10/14/2024 22:26,4.62,3.76,17.71,2.38,7.07,35.54
10/15/2024 22:26,4.91,3.54,12.21,2.21,5.76,28.63
10/16/2024 22:26,2.94,3.47,20.83,2.41,7.18,36.83
10/17/2024 22:26,3.54,2.14,3.68,2.79,5.02,17.17
10/18/2024 22:26,4.30,3.30,16.76,2.97,9.11,36.44
10/19/2024 22:26,4.20,3.81,13.36,3.73,5.73,30.83
10/20/2024 22:26,5.64,6.03,13.11,3.22,5.94,33.94
10/21/2024 22:26,4.03,4.10,11.29,2.66,7.75,29.83
10/22/2024 22:26,3.04,1.86,3.91,2.77,3.90,15.49
10/23/2024 22:26,6.53,3.80,10.41,1.49,6.24,28.47
10/24/2024 22:26,4.15,3.61,13.20,2.53,7.38,30.87
10/25/2024 22:26,4.36,3.00,19.14,2.56,4.66,33.73
10/26/2024 22:26,3.22,4.01,11.55,3.59,7.57,29.94
10/27/2024 22:26,3.77,4.72,9.79,2.76,6.72,27.75
10/28/2024 22:26,5.21,5.65,11.34,3.04,6.69,31.93
10/29/2024 22:26,2.63,2.55,16.53,2.76,5.11,29.58
10/30/2024 22:26,5.71,3.45,15.20,1.51,4.00,29.87
10/31/2024 22:26,4.19,4.42,11.08,3.38,7.58,30.65
11/1/2024 22:26,4.44,3.82,13.47,2.45,6.02,30.20
