Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,4.87,1.81,6.33,1.49,6.45,20.95
10/4/2024 22:26,4.24,3.85,6.55,1.84,4.90,21.38
10/5/2024 22:26,4.72,2.20,4.94,1.25,7.06,20.17
10/6/2024 22:26,5.45,2.13,4.62,1.53,3.91,17.64
10/7/2024 22:26,3.88,2.92,7.57,1.45,6.36,22.18
10/8/2024 22:26,3.35,1.46,8.96,0.93,9.03,23.73
10/9/2024 22:26,5.10,2.77,6.74,1.60,4.10,20.30
10/10/2024 22:26,4.60,1.27,8.68,1.91,5.20,21.66
10/11/2024 22:26,3.59,1.52,7.16,1.41,5.34,18.97
10/12/2024 22:26,4.01,2.17,5.58,1.51,5.34,18.61
10/13/2024 22:26,3.37,2.60,7.34,0.77,4.07,18.15
10/14/2024 22:26,3.99,2.14,9.63,1.48,5.04,22.28
10/15/2024 22:26,4.20,2.15,6.77,1.47,3.80,18.39
10/16/2024 22:26,2.37,1.97,9.28,1.31,5.47,20.40
10/17/2024 22:26,2.37,1.11,1.72,1.43,4.86,11.49
10/18/2024 22:26,3.44,1.60,8.60,1.78,8.26,23.68
10/19/2024 22:26,2.93,2.40,6.62,2.07,4.41,18.43
10/20/2024 22:26,4.33,3.87,6.86,1.54,4.80,21.40
10/21/2024 22:26,3.17,3.14,6.50,1.43,7.50,21.74
10/22/2024 22:26,2.05,1.72,1.94,1.24,3.57,10.52
10/23/2024 22:26,5.40,2.81,5.25,0.86,5.66,19.98
10/24/2024 22:26,4.32,2.28,6.57,1.65,7.79,22.61
10/25/2024 22:26,4.31,1.80,9.37,1.55,4.03,21.06
10/26/2024 22:26,4.25,3.47,8.01,3.43,8.58,34.74
10/27/2024 22:26,5.21,3.74,6.96,2.54,7.88,36.33
10/28/2024 22:26,6.10,4.08,7.46,2.65,8.61,38.90
10/29/2024 22:26,5.05,3.30,9.17,2.29,6.39,36.20
10/30/2024 22:26,6.18,3.61,8.58,1.99,5.83,36.19
10/31/2024 22:26,5.98,4.07,6.86,2.84,8.55,38.30
11/1/2024 22:26,5.91,3.88,7.61,2.47,7.90,37.77
