Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,6.22,4.06,7.98,3.28,8.12,33.66
10/4/2024 22:26,5.57,4.91,7.10,3.74,8.05,33.37
10/5/2024 22:26,7.42,4.54,6.88,2.36,8.25,34.45
10/6/2024 22:26,6.01,4.04,5.62,2.71,4.98,32.36
10/7/2024 22:26,6.98,5.56,8.18,2.43,8.42,34.57
10/8/2024 22:26,6.08,2.44,8.35,1.92,10.32,33.11
10/9/2024 22:26,7.94,6.08,8.01,2.37,8.48,34.88
10/10/2024 22:26,7.56,3.08,8.37,2.72,8.09,34.82
10/11/2024 22:26,6.92,3.87,7.29,2.07,8.39,32.54
10/12/2024 22:26,5.88,6.41,7.35,2.10,7.41,33.15
10/13/2024 22:26,5.55,6.49,8.37,1.89,6.68,33.98
10/14/2024 22:26,6.18,5.76,8.84,2.45,7.07,34.30
10/15/2024 22:26,7.09,5.18,8.01,2.31,7.82,33.41
10/16/2024 22:26,4.49,6.09,9.65,1.91,6.47,34.61
10/17/2024 22:26,4.09,4.67,2.83,3.10,6.33,32.02
10/18/2024 22:26,5.92,5.08,8.84,3.07,7.98,33.89
10/19/2024 22:26,5.37,4.97,8.56,3.17,7.50,33.57
10/20/2024 22:26,7.29,5.88,7.16,2.92,7.30,34.55
10/21/2024 22:26,6.01,5.07,7.66,3.12,7.89,33.75
10/22/2024 22:26,4.27,2.94,4.40,3.25,6.85,31.71
10/23/2024 22:26,8.27,5.08,8.06,2.09,7.39,34.37
10/24/2024 22:26,6.19,4.67,8.37,2.43,7.86,33.52
10/25/2024 22:26,6.98,4.14,9.36,2.10,7.10,33.68
10/26/2024 22:26,4.79,6.06,7.08,3.28,7.98,33.19
10/27/2024 22:26,5.89,5.37,6.28,2.79,8.05,33.38
10/28/2024 22:26,6.24,6.08,7.07,3.00,7.85,34.24
10/29/2024 22:26,4.89,4.19,9.17,2.36,6.87,33.48
10/30/2024 22:26,6.97,5.36,8.06,1.79,6.74,33.24
10/31/2024 22:26,5.70,6.08,7.22,3.17,8.07,34.24
11/1/2024 22:26,6.10,5.31,8.58,2.68,7.89,33.99
