Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,7.83,6.31,7.12,4.37,8.25,33.88
10/4/2024 22:26,8.92,7.23,8.32,2.23,6.15,32.85
10/5/2024 22:26,6.53,8.62,9.11,1.97,5.72,31.95
10/6/2024 22:26,8.94,5.11,8.13,4.21,7.84,34.23
10/7/2024 22:26,6.82,9.47,3.12,1.93,5.88,27.22
10/8/2024 22:26,7.12,6.34,5.33,4.15,6.42,29.36
10/9/2024 22:26,5.43,5.85,8.77,1.52,7.23,28.80
10/10/2024 22:26,8.92,7.15,6.52,2.11,5.64,30.34
10/11/2024 22:26,7.25,4.72,9.11,3.56,6.34,30.98
10/12/2024 22:26,9.64,7.63,5.92,1.87,5.91,31.97
10/13/2024 22:26,6.94,4.21,4.56,3.76,6.15,25.62
10/14/2024 22:26,8.11,4.97,5.32,2.11,6.83,27.34
10/15/2024 22:26,7.92,5.76,5.44,3.12,7.06,29.30
10/16/2024 22:26,9.24,5.31,6.74,3.89,7.88,33.06
10/17/2024 22:26,9.47,5.41,8.11,1.92,5.85,30.76
10/18/2024 22:26,6.78,5.92,6.34,1.84,5.21,26.09
10/19/2024 22:26,7.65,9.15,7.83,2.87,6.41,33.91
10/20/2024 22:26,7.21,6.34,5.98,1.92,6.89,28.34
10/21/2024 22:26,6.81,3.15,7.41,2.34,7.02,26.73
10/22/2024 22:26,9.43,5.92,8.56,1.82,6.15,31.88
10/23/2024 22:26,6.43,7.21,8.13,2.03,6.77,30.57
10/24/2024 22:26,7.42,5.64,9.44,2.15,6.11,30.76
10/25/2024 22:26,7.92,4.12,10.73,1.43,5.43,29.63
10/26/2024 22:26,5.42,7.12,7.91,3.21,7.24,30.90
10/27/2024 22:26,6.21,7.23,6.92,2.11,6.43,28.90
10/28/2024 22:26,7.23,6.45,8.32,2.41,6.95,31.36
10/29/2024 22:26,6.95,5.23,9.54,1.23,7.02,30.97
10/30/2024 22:26,8.72,7.45,6.76,3.34,8.11,34.38
10/31/2024 22:26,7.32,5.76,8.11,3.64,7.25,32.08
11/1/2024 22:26,7.85,6.89,7.56,2.54,6.98,31.82
