Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,12.66,6.04,32.11,4.48,11.98,67.27
10/4/2024 22:26,9.56,8.49,29.49,4.53,8.63,60.71
10/5/2024 22:26,11.98,5.00,17.12,2.81,12.26,49.16
10/6/2024 22:26,14.60,3.94,18.76,3.51,5.49,46.30
10/7/2024 22:26,10.55,7.94,38.54,3.46,10.56,71.05
10/8/2024 22:26,10.42,3.83,41.94,2.65,15.34,74.18
10/9/2024 22:26,14.00,5.70,28.62,4.07,8.89,61.28
10/10/2024 22:26,12.05,2.83,38.10,4.36,8.57,65.91
10/11/2024 22:26,8.58,4.97,33.27,3.98,10.67,61.47
10/12/2024 22:26,12.24,5.89,28.51,4.00,7.26,57.91
10/13/2024 22:26,8.40,6.52,32.99,3.04,6.86,57.82
10/14/2024 22:26,8.96,5.95,47.35,3.09,9.29,74.64
10/15/2024 22:26,9.17,5.31,31.48,3.16,8.02,57.14
10/16/2024 22:26,4.28,5.25,44.23,3.03,12.57,69.36
10/17/2024 22:26,6.41,3.27,7.19,3.57,6.77,27.21
10/18/2024 22:26,7.96,4.44,44.62,4.46,15.11,76.59
10/19/2024 22:26,7.37,5.80,32.50,5.61,6.58,57.17
10/20/2024 22:26,10.87,8.24,30.29,3.70,9.71,62.81
10/21/2024 22:26,8.62,5.79,31.80,4.12,12.37,62.69
10/22/2024 22:26,7.27,3.19,12.39,4.17,6.56,33.59
10/23/2024 22:26,14.04,7.20,31.64,1.60,11.91,66.39
10/24/2024 22:26,10.19,5.95,30.96,4.22,12.65,63.97
10/25/2024 22:26,8.99,4.42,47.08,4.44,5.18,70.11
10/26/2024 22:26,6.08,7.84,31.16,6.17,10.68,61.93
10/27/2024 22:26,7.58,8.37,27.99,3.43,9.97,57.34
10/28/2024 22:26,9.67,6.92,31.94,3.81,10.73,63.07
10/29/2024 22:26,8.21,5.47,46.15,4.22,5.78,69.84
10/30/2024 22:26,11.24,5.68,37.54,3.03,6.17,63.66
10/31/2024 22:26,8.05,7.02,27.68,4.83,11.73,59.31
11/1/2024 22:26,9.54,5.76,31.96,3.95,9.73,62.94
