Date,Shower (gallons),Dishwashing (gallons),Garden Watering (gallons),Toilet Flushes (gallons),Laundry (gallons),Total Usage (gallons)
10/3/2024 22:26,7.27,4.15,8.79,2.90,4.72,34.83
10/4/2024 22:26,5.63,7.89,9.18,3.15,3.51,39.36
10/5/2024 22:26,8.52,5.70,8.51,2.42,5.83,38.98
10/6/2024 22:26,9.44,3.35,5.18,2.43,2.77,23.17
10/7/2024 22:26,6.13,5.84,13.53,2.69,4.85,33.04
10/8/2024 22:26,6.98,3.50,16.49,1.58,5.74,34.29
10/9/2024 22:26,9.54,6.25,10.05,2.89,3.31,32.04
10/10/2024 22:26,8.71,2.71,15.60,3.16,3.29,33.47
10/11/2024 22:26,6.86,4.35,13.24,2.53,4.13,31.11
10/12/2024 22:26,7.69,5.60,10.23,2.80,3.08,29.40
10/13/2024 22:26,6.14,7.09,11.28,1.58,2.39,28.47
10/14/2024 22:26,6.68,5.21,14.84,2.16,3.66,32.55
10/15/2024 22:26,7.63,4.63,10.60,2.40,2.84,28.10
10/16/2024 22:26,3.46,4.41,17.47,1.88,4.84,32.06
10/17/2024 22:26,4.46,3.84,0.52,2.73,2.93,14.48
10/18/2024 22:26,4.85,3.72,13.10,3.02,5.70,30.39
10/19/2024 22:26,4.62,5.42,9.77,3.83,3.87,27.52
10/20/2024 22:26,6.43,7.08,9.60,2.77,3.89,29.77
10/21/2024 22:26,5.60,5.26,9.66,2.73,4.92,28.17
10/22/2024 22:26,4.56,3.38,3.25,2.05,2.10,15.34
10/23/2024 22:26,9.05,5.29,8.95,1.59,3.09,28.97
10/24/2024 22:26,6.25,3.98,13.10,2.84,4.27,30.44
10/25/2024 22:26,7.03,4.17,13.63,2.76,1.98,29.57
10/26/2024 22:26,4.58,4.96,9.44,4.05,4.09,27.12
10/27/2024 22:26,6.09,5.88,6.73,2.48,3.85,25.03
10/28/2024 22:26,7.27,6.84,9.89,2.54,4.50,31.05
10/29/2024 22:26,5.52,4.50,12.88,2.48,2.40,27.78
10/30/2024 22:26,6.36,4.94,13.19,1.84,3.10,29.42
10/31/2024 22:26,5.69,5.51,8.07,3.27,4.26,26.80
11/1/2024 22:26,7.06,5.55,11.85,2.93,4.33,31.72
